[2024-02-20 16:53:59] [INFO] hyper_fed
      n_public_data  :  100  
          seed       : 10000 
      local_epochs   :  10   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  20   
          alpha      :  1.0  
         dataset     :cifar10
     model_structure : cnn3  
[2024-02-20 16:54:22] [INFO] [rank: 1, server epoch 1, client 1, local train]
[2024-02-20 16:54:23] [INFO] rank: 0, local epoch 1, acc: 0.4026
[2024-02-20 16:54:25] [INFO] rank: 0, local epoch 2, acc: 0.4492
[2024-02-20 16:54:26] [INFO] rank: 0, local epoch 3, acc: 0.4816
[2024-02-20 16:54:27] [INFO] rank: 0, local epoch 4, acc: 0.5217
[2024-02-20 16:54:29] [INFO] rank: 0, local epoch 5, acc: 0.5407
[2024-02-20 16:54:30] [INFO] rank: 0, local epoch 6, acc: 0.5516
[2024-02-20 16:54:32] [INFO] rank: 0, local epoch 7, acc: 0.5589
[2024-02-20 16:54:33] [INFO] rank: 0, local epoch 8, acc: 0.5751
[2024-02-20 16:54:35] [INFO] rank: 1, local epoch 9, acc: 0.5792
[2024-02-20 16:54:36] [INFO] rank: 0, local epoch 10, acc: 0.5901
[2024-02-20 16:54:36] [INFO] [rank: 0, server epoch 1, client 2, local train]
[2024-02-20 16:54:38] [INFO] rank: 0, local epoch 1, acc: 0.3998
[2024-02-20 16:54:39] [INFO] rank: 0, local epoch 2, acc: 0.4508
[2024-02-20 16:54:40] [INFO] rank: 0, local epoch 3, acc: 0.5006
[2024-02-20 16:54:42] [INFO] rank: 0, local epoch 4, acc: 0.5225
[2024-02-20 16:54:43] [INFO] rank: 0, local epoch 5, acc: 0.5427
[2024-02-20 16:54:44] [INFO] rank: 0, local epoch 6, acc: 0.5456
[2024-02-20 16:54:46] [INFO] rank: 0, local epoch 7, acc: 0.5593
[2024-02-20 16:54:47] [INFO] rank: 0, local epoch 8, acc: 0.5687
[2024-02-20 16:54:48] [INFO] rank: 0, local epoch 9, acc: 0.5816
[2024-02-20 16:54:50] [INFO] rank: 0, local epoch 10, acc: 0.5881
[2024-02-20 16:54:50] [INFO] [rank: 0, server epoch 1, client 3, local train]
[2024-02-20 16:54:51] [INFO] rank: 0, local epoch 1, acc: 0.4143
[2024-02-20 16:54:52] [INFO] rank: 0, local epoch 2, acc: 0.4407
[2024-02-20 16:54:53] [INFO] rank: 0, local epoch 3, acc: 0.4901
[2024-02-20 16:54:55] [INFO] rank: 0, local epoch 4, acc: 0.5172
[2024-02-20 16:54:56] [INFO] rank: 0, local epoch 5, acc: 0.5358
[2024-02-20 16:54:57] [INFO] rank: 0, local epoch 6, acc: 0.5565
[2024-02-20 16:54:59] [INFO] rank: 0, local epoch 7, acc: 0.5601
[2024-02-20 16:55:00] [INFO] rank: 0, local epoch 8, acc: 0.5772
[2024-02-20 16:55:01] [INFO] rank: 0, local epoch 9, acc: 0.5687
[2024-02-20 16:55:03] [INFO] rank: 0, local epoch 10, acc: 0.5788
[2024-02-20 16:55:03] [INFO] [rank: 0, server epoch 1, client 4, local train]
[2024-02-20 16:55:04] [INFO] rank: 0, local epoch 1, acc: 0.3612
[2024-02-20 16:55:06] [INFO] rank: 0, local epoch 2, acc: 0.4363
[2024-02-20 16:55:07] [INFO] rank: 0, local epoch 3, acc: 0.4760
[2024-02-20 16:55:09] [INFO] rank: 0, local epoch 4, acc: 0.5076
[2024-02-20 16:55:10] [INFO] rank: 0, local epoch 5, acc: 0.5224
[2024-02-20 16:55:12] [INFO] rank: 0, local epoch 6, acc: 0.5444
[2024-02-20 16:55:14] [INFO] rank: 0, local epoch 7, acc: 0.5616
[2024-02-20 16:55:15] [INFO] rank: 0, local epoch 8, acc: 0.5652
[2024-02-20 16:55:17] [INFO] rank: 0, local epoch 9, acc: 0.5752
[2024-02-20 16:55:18] [INFO] rank: 0, local epoch 10, acc: 0.5874
[2024-02-20 16:55:18] [INFO] [rank: 0, server epoch 1, client 5, local train]
