[2024-02-20 20:47:29] [INFO] hyper_fed
      n_public_data  :  100  
          seed       : 10000 
      local_epochs   :  10   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  20   
          alpha      :  1.0  
            a        :  1.0  
       temperature   :  15   
         dataset     :cifar10
     model_structure : cnn3  
[2024-02-20 20:47:52] [INFO] [rank: 2, server epoch 1, client 1, local train]
[2024-02-20 20:47:54] [INFO] rank: 2, local epoch 1, acc: 0.4022
[2024-02-20 20:47:55] [INFO] rank: 2, local epoch 2, acc: 0.4496
[2024-02-20 20:47:57] [INFO] rank: 2, local epoch 3, acc: 0.4820
[2024-02-20 20:47:59] [INFO] rank: 2, local epoch 4, acc: 0.5213
[2024-02-20 20:48:00] [INFO] rank: 2, local epoch 5, acc: 0.5387
[2024-02-20 20:48:02] [INFO] rank: 2, local epoch 6, acc: 0.5512
[2024-02-20 20:48:03] [INFO] rank: 2, local epoch 7, acc: 0.5597
[2024-02-20 20:48:05] [INFO] rank: 2, local epoch 8, acc: 0.5768
[2024-02-20 20:48:06] [INFO] rank: 2, local epoch 9, acc: 0.5780
[2024-02-20 20:48:08] [INFO] rank: 2, local epoch 10, acc: 0.5889
[2024-02-20 20:48:08] [INFO] [rank: 2, server epoch 1, client 2, local train]
[2024-02-20 20:48:09] [INFO] rank: 2, local epoch 1, acc: 0.3994
[2024-02-20 20:48:11] [INFO] rank: 2, local epoch 2, acc: 0.4508
[2024-02-20 20:48:12] [INFO] rank: 2, local epoch 3, acc: 0.5002
[2024-02-20 20:48:14] [INFO] rank: 2, local epoch 4, acc: 0.5225
[2024-02-20 20:48:15] [INFO] rank: 2, local epoch 5, acc: 0.5427
[2024-02-20 20:48:16] [INFO] rank: 2, local epoch 6, acc: 0.5452
[2024-02-20 20:48:18] [INFO] rank: 2, local epoch 7, acc: 0.5601
[2024-02-20 20:48:19] [INFO] rank: 2, local epoch 8, acc: 0.5670
[2024-02-20 20:48:21] [INFO] rank: 2, local epoch 9, acc: 0.5816
[2024-02-20 20:48:22] [INFO] rank: 2, local epoch 10, acc: 0.5861
[2024-02-20 20:48:22] [INFO] [rank: 2, server epoch 1, client 3, local train]
[2024-02-20 20:48:24] [INFO] rank: 2, local epoch 1, acc: 0.4151
[2024-02-20 20:48:25] [INFO] rank: 2, local epoch 2, acc: 0.4407
[2024-02-20 20:48:27] [INFO] rank: 2, local epoch 3, acc: 0.4905
[2024-02-20 20:48:28] [INFO] rank: 2, local epoch 4, acc: 0.5172
[2024-02-20 20:48:30] [INFO] rank: 2, local epoch 5, acc: 0.5358
[2024-02-20 20:48:31] [INFO] rank: 2, local epoch 6, acc: 0.5569
[2024-02-20 20:48:33] [INFO] rank: 2, local epoch 7, acc: 0.5577
[2024-02-20 20:48:34] [INFO] rank: 2, local epoch 8, acc: 0.5780
[2024-02-20 20:48:36] [INFO] rank: 2, local epoch 9, acc: 0.5687
[2024-02-20 20:48:37] [INFO] rank: 2, local epoch 10, acc: 0.5796
[2024-02-20 20:48:37] [INFO] [rank: 2, server epoch 1, client 4, local train]
[2024-02-20 20:48:39] [INFO] rank: 2, local epoch 1, acc: 0.3606
[2024-02-20 20:48:41] [INFO] rank: 2, local epoch 2, acc: 0.4363
[2024-02-20 20:48:42] [INFO] rank: 2, local epoch 3, acc: 0.4757
[2024-02-20 20:48:44] [INFO] rank: 2, local epoch 4, acc: 0.5076
[2024-02-20 20:48:46] [INFO] rank: 2, local epoch 5, acc: 0.5222
[2024-02-20 20:48:47] [INFO] rank: 2, local epoch 6, acc: 0.5438
[2024-02-20 20:48:49] [INFO] rank: 2, local epoch 7, acc: 0.5608
[2024-02-20 20:48:51] [INFO] rank: 2, local epoch 8, acc: 0.5647
[2024-02-20 20:48:52] [INFO] rank: 2, local epoch 9, acc: 0.5754
[2024-02-20 20:48:54] [INFO] rank: 2, local epoch 10, acc: 0.5866
[2024-02-20 20:48:54] [INFO] [rank: 2, server epoch 1, client 5, local train]
[2024-02-20 20:48:56] [INFO] rank: 2, local epoch 1, acc: 0.3677
[2024-02-20 20:48:57] [INFO] rank: 2, local epoch 2, acc: 0.4468
[2024-02-20 20:48:59] [INFO] rank: 2, local epoch 3, acc: 0.4789
[2024-02-20 20:49:01] [INFO] rank: 2, local epoch 4, acc: 0.5026
[2024-02-20 20:49:02] [INFO] rank: 2, local epoch 5, acc: 0.5235
[2024-02-20 20:49:04] [INFO] rank: 2, local epoch 6, acc: 0.5350
[2024-02-20 20:49:05] [INFO] rank: 2, local epoch 7, acc: 0.5618
[2024-02-20 20:49:07] [INFO] rank: 2, local epoch 8, acc: 0.5652
[2024-02-20 20:49:09] [INFO] rank: 2, local epoch 9, acc: 0.5733
[2024-02-20 20:49:10] [INFO] rank: 2, local epoch 10, acc: 0.5819
[2024-02-20 20:49:10] [INFO] [rank: 2, server epoch 1, client 6, local train]
[2024-02-20 20:49:12] [INFO] rank: 2, local epoch 1, acc: 0.3601
[2024-02-20 20:49:14] [INFO] rank: 2, local epoch 2, acc: 0.4535
[2024-02-20 20:49:16] [INFO] rank: 2, local epoch 3, acc: 0.4828
[2024-02-20 20:49:17] [INFO] rank: 2, local epoch 4, acc: 0.5115
[2024-02-20 20:49:19] [INFO] rank: 2, local epoch 5, acc: 0.5240
[2024-02-20 20:49:21] [INFO] rank: 2, local epoch 6, acc: 0.5415
[2024-02-20 20:49:22] [INFO] rank: 2, local epoch 7, acc: 0.5475
[2024-02-20 20:49:24] [INFO] rank: 2, local epoch 8, acc: 0.5632
[2024-02-20 20:49:26] [INFO] rank: 2, local epoch 9, acc: 0.5812
[2024-02-20 20:49:27] [INFO] rank: 2, local epoch 10, acc: 0.5866
[2024-02-20 20:49:27] [INFO] [rank: 2, server epoch 1, client 7, local train]
[2024-02-20 20:49:29] [INFO] rank: 2, local epoch 1, acc: 0.3866
[2024-02-20 20:49:31] [INFO] rank: 2, local epoch 2, acc: 0.3982
[2024-02-20 20:49:32] [INFO] rank: 2, local epoch 3, acc: 0.4369
[2024-02-20 20:49:34] [INFO] rank: 2, local epoch 4, acc: 0.4747
[2024-02-20 20:49:36] [INFO] rank: 2, local epoch 5, acc: 0.4790
[2024-02-20 20:49:37] [INFO] rank: 2, local epoch 6, acc: 0.4904
[2024-02-20 20:49:39] [INFO] rank: 2, local epoch 7, acc: 0.4953
[2024-02-20 20:49:41] [INFO] rank: 2, local epoch 8, acc: 0.4988
