[2024-02-20 22:14:17] [INFO] hyper_fed
      n_public_data  :  100  
          seed       : 10000 
      local_epochs   :  10   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  20   
          alpha      :  1.0  
            a        :  0.5  
       temperature   :   5   
         dataset     :cifar10
     model_structure : cnn3  
[2024-02-20 22:14:39] [INFO] [rank: 0, server epoch 1, client 1, local train]
[2024-02-20 22:14:41] [INFO] rank: 0, local epoch 1, acc: 0.4026
[2024-02-20 22:14:42] [INFO] rank: 0, local epoch 2, acc: 0.4492
[2024-02-20 22:14:44] [INFO] rank: 0, local epoch 3, acc: 0.4832
[2024-02-20 22:14:45] [INFO] rank: 0, local epoch 4, acc: 0.5213
[2024-02-20 22:14:47] [INFO] rank: 0, local epoch 5, acc: 0.5387
[2024-02-20 22:14:48] [INFO] rank: 0, local epoch 6, acc: 0.5512
[2024-02-20 22:14:50] [INFO] rank: 0, local epoch 7, acc: 0.5606
[2024-02-20 22:14:51] [INFO] rank: 0, local epoch 8, acc: 0.5768
[2024-02-20 22:14:53] [INFO] rank: 0, local epoch 9, acc: 0.5808
[2024-02-20 22:14:55] [INFO] rank: 0, local epoch 10, acc: 0.5893
[2024-02-20 22:14:55] [INFO] [rank: 0, server epoch 1, client 2, local train]
[2024-02-20 22:14:56] [INFO] rank: 0, local epoch 1, acc: 0.3998
[2024-02-20 22:14:58] [INFO] rank: 0, local epoch 2, acc: 0.4508
[2024-02-20 22:15:00] [INFO] rank: 0, local epoch 3, acc: 0.4998
[2024-02-20 22:15:01] [INFO] rank: 0, local epoch 4, acc: 0.5221
[2024-02-20 22:15:03] [INFO] rank: 0, local epoch 5, acc: 0.5431
[2024-02-20 22:15:04] [INFO] rank: 0, local epoch 6, acc: 0.5456
[2024-02-20 22:15:06] [INFO] rank: 0, local epoch 7, acc: 0.5606
[2024-02-20 22:15:07] [INFO] rank: 0, local epoch 8, acc: 0.5695
[2024-02-20 22:15:09] [INFO] rank: 0, local epoch 9, acc: 0.5836
[2024-02-20 22:15:10] [INFO] rank: 0, local epoch 10, acc: 0.5869
[2024-02-20 22:15:10] [INFO] [rank: 0, server epoch 1, client 3, local train]
[2024-02-20 22:15:12] [INFO] rank: 0, local epoch 1, acc: 0.4151
[2024-02-20 22:15:14] [INFO] rank: 0, local epoch 2, acc: 0.4394
[2024-02-20 22:15:15] [INFO] rank: 0, local epoch 3, acc: 0.4913
[2024-02-20 22:15:17] [INFO] rank: 0, local epoch 4, acc: 0.5164
[2024-02-20 22:15:18] [INFO] rank: 0, local epoch 5, acc: 0.5354
[2024-02-20 22:15:20] [INFO] rank: 0, local epoch 6, acc: 0.5573
[2024-02-20 22:15:21] [INFO] rank: 0, local epoch 7, acc: 0.5597
[2024-02-20 22:15:23] [INFO] rank: 0, local epoch 8, acc: 0.5772
[2024-02-20 22:15:25] [INFO] rank: 0, local epoch 9, acc: 0.5699
[2024-02-20 22:15:26] [INFO] rank: 0, local epoch 10, acc: 0.5784
[2024-02-20 22:15:26] [INFO] [rank: 0, server epoch 1, client 4, local train]
[2024-02-20 22:15:28] [INFO] rank: 0, local epoch 1, acc: 0.3617
[2024-02-20 22:15:30] [INFO] rank: 0, local epoch 2, acc: 0.4358
[2024-02-20 22:15:31] [INFO] rank: 0, local epoch 3, acc: 0.4768
[2024-02-20 22:15:33] [INFO] rank: 0, local epoch 4, acc: 0.5081
[2024-02-20 22:15:35] [INFO] rank: 0, local epoch 5, acc: 0.5217
[2024-02-20 22:15:36] [INFO] rank: 0, local epoch 6, acc: 0.5446
[2024-02-20 22:15:38] [INFO] rank: 0, local epoch 7, acc: 0.5595
[2024-02-20 22:15:40] [INFO] rank: 0, local epoch 8, acc: 0.5650
[2024-02-20 22:15:41] [INFO] rank: 0, local epoch 9, acc: 0.5762
[2024-02-20 22:15:43] [INFO] rank: 0, local epoch 10, acc: 0.5874
[2024-02-20 22:15:43] [INFO] [rank: 0, server epoch 1, client 5, local train]
[2024-02-20 22:15:45] [INFO] rank: 0, local epoch 1, acc: 0.3677
[2024-02-20 22:15:47] [INFO] rank: 0, local epoch 2, acc: 0.4455
[2024-02-20 22:15:48] [INFO] rank: 0, local epoch 3, acc: 0.4802
[2024-02-20 22:15:50] [INFO] rank: 0, local epoch 4, acc: 0.5023
[2024-02-20 22:15:51] [INFO] rank: 0, local epoch 5, acc: 0.5235
[2024-02-20 22:15:53] [INFO] rank: 0, local epoch 6, acc: 0.5355
[2024-02-20 22:15:55] [INFO] rank: 0, local epoch 7, acc: 0.5621
[2024-02-20 22:15:57] [INFO] rank: 0, local epoch 8, acc: 0.5645
[2024-02-20 22:15:58] [INFO] rank: 0, local epoch 9, acc: 0.5731
[2024-02-20 22:16:00] [INFO] rank: 0, local epoch 10, acc: 0.5812
[2024-02-20 22:16:00] [INFO] [rank: 0, server epoch 1, client 6, local train]
[2024-02-20 22:16:02] [INFO] rank: 0, local epoch 1, acc: 0.3601
[2024-02-20 22:16:03] [INFO] rank: 0, local epoch 2, acc: 0.4543
[2024-02-20 22:16:05] [INFO] rank: 0, local epoch 3, acc: 0.4851
[2024-02-20 22:16:07] [INFO] rank: 0, local epoch 4, acc: 0.5120
[2024-02-20 22:16:09] [INFO] rank: 0, local epoch 5, acc: 0.5235
[2024-02-20 22:16:10] [INFO] rank: 0, local epoch 6, acc: 0.5410
[2024-02-20 22:16:12] [INFO] rank: 0, local epoch 7, acc: 0.5485
[2024-02-20 22:16:14] [INFO] rank: 0, local epoch 8, acc: 0.5645
[2024-02-20 22:16:16] [INFO] rank: 0, local epoch 9, acc: 0.5814
[2024-02-20 22:16:17] [INFO] rank: 0, local epoch 10, acc: 0.5869
[2024-02-20 22:16:17] [INFO] [rank: 0, server epoch 1, client 7, local train]
[2024-02-20 22:16:19] [INFO] rank: 0, local epoch 1, acc: 0.3869
[2024-02-20 22:16:21] [INFO] rank: 0, local epoch 2, acc: 0.3988
[2024-02-20 22:16:22] [INFO] rank: 0, local epoch 3, acc: 0.4369
[2024-02-20 22:16:24] [INFO] rank: 0, local epoch 4, acc: 0.4731
[2024-02-20 22:16:26] [INFO] rank: 0, local epoch 5, acc: 0.4790
[2024-02-20 22:16:27] [INFO] rank: 0, local epoch 6, acc: 0.4923
[2024-02-20 22:16:29] [INFO] rank: 0, local epoch 7, acc: 0.5004
[2024-02-20 22:16:31] [INFO] rank: 0, local epoch 8, acc: 0.4969
[2024-02-20 22:16:32] [INFO] rank: 0, local epoch 9, acc: 0.5128
[2024-02-20 22:16:34] [INFO] rank: 0, local epoch 10, acc: 0.5139
[2024-02-20 22:16:34] [INFO] [rank: 0, server epoch 1, client 8, local train]
[2024-02-20 22:16:36] [INFO] rank: 0, local epoch 1, acc: 0.3812
[2024-02-20 22:16:37] [INFO] rank: 0, local epoch 2, acc: 0.4079
[2024-02-20 22:16:39] [INFO] rank: 0, local epoch 3, acc: 0.4242
[2024-02-20 22:16:41] [INFO] rank: 0, local epoch 4, acc: 0.4644
[2024-02-20 22:16:43] [INFO] rank: 0, local epoch 5, acc: 0.4836
[2024-02-20 22:16:44] [INFO] rank: 0, local epoch 6, acc: 0.4918
[2024-02-20 22:16:46] [INFO] rank: 0, local epoch 7, acc: 0.5047
[2024-02-20 22:16:48] [INFO] rank: 0, local epoch 8, acc: 0.5015
[2024-02-20 22:16:49] [INFO] rank: 0, local epoch 9, acc: 0.5107
[2024-02-20 22:16:51] [INFO] rank: 0, local epoch 10, acc: 0.5258
[2024-02-20 22:16:51] [INFO] [rank: 0, server epoch 1, client 9, local train]
[2024-02-20 22:16:53] [INFO] rank: 0, local epoch 1, acc: 0.3798
[2024-02-20 22:16:55] [INFO] rank: 0, local epoch 2, acc: 0.4152
[2024-02-20 22:16:56] [INFO] rank: 0, local epoch 3, acc: 0.4474
[2024-02-20 22:16:58] [INFO] rank: 0, local epoch 4, acc: 0.4599
[2024-02-20 22:17:00] [INFO] rank: 0, local epoch 5, acc: 0.4807
[2024-02-20 22:17:01] [INFO] rank: 0, local epoch 6, acc: 0.4891
[2024-02-20 22:17:03] [INFO] rank: 0, local epoch 7, acc: 0.4734
[2024-02-20 22:17:05] [INFO] rank: 0, local epoch 8, acc: 0.5066
[2024-02-20 22:17:06] [INFO] rank: 0, local epoch 9, acc: 0.5093
[2024-02-20 22:17:08] [INFO] rank: 0, local epoch 10, acc: 0.5139
[2024-02-20 22:17:08] [INFO] [rank: 0, server epoch 1, client 1, distill train]
[2024-02-20 22:17:09] [INFO] rank: 0, distill epoch 1, acc: 0.5784
[2024-02-20 22:17:10] [INFO] rank: 0, distill epoch 2, acc: 0.5784
[2024-02-20 22:17:11] [INFO] rank: 0, distill epoch 3, acc: 0.5784
[2024-02-20 22:17:13] [INFO] rank: 0, distill epoch 4, acc: 0.5784
[2024-02-20 22:17:14] [INFO] rank: 0, distill epoch 5, acc: 0.5784
[2024-02-20 22:17:15] [INFO] rank: 0, distill epoch 6, acc: 0.5784
[2024-02-20 22:17:16] [INFO] rank: 0, distill epoch 7, acc: 0.5784
[2024-02-20 22:17:17] [INFO] rank: 0, distill epoch 8, acc: 0.5784
[2024-02-20 22:17:18] [INFO] rank: 0, distill epoch 9, acc: 0.5784
[2024-02-20 22:17:20] [INFO] rank: 0, distill epoch 10, acc: 0.5784
[2024-02-20 22:17:20] [INFO] [rank: 0, server epoch 1, client 2, distill train]
[2024-02-20 22:17:21] [INFO] rank: 0, distill epoch 1, acc: 0.5784
[2024-02-20 22:17:22] [INFO] rank: 0, distill epoch 2, acc: 0.5784
[2024-02-20 22:17:23] [INFO] rank: 0, distill epoch 3, acc: 0.5784
[2024-02-20 22:17:24] [INFO] rank: 0, distill epoch 4, acc: 0.5784
[2024-02-20 22:17:25] [INFO] rank: 0, distill epoch 5, acc: 0.5784
[2024-02-20 22:17:26] [INFO] rank: 0, distill epoch 6, acc: 0.5784
[2024-02-20 22:17:28] [INFO] rank: 0, distill epoch 7, acc: 0.5784
[2024-02-20 22:17:29] [INFO] rank: 0, distill epoch 8, acc: 0.5784
[2024-02-20 22:17:30] [INFO] rank: 0, distill epoch 9, acc: 0.5784
[2024-02-20 22:17:31] [INFO] rank: 0, distill epoch 10, acc: 0.5784
[2024-02-20 22:17:31] [INFO] [rank: 0, server epoch 1, client 3, distill train]
[2024-02-20 22:17:32] [INFO] rank: 0, distill epoch 1, acc: 0.5913
[2024-02-20 22:17:33] [INFO] rank: 0, distill epoch 2, acc: 0.5755
[2024-02-20 22:17:35] [INFO] rank: 0, distill epoch 3, acc: 0.5516
[2024-02-20 22:17:36] [INFO] rank: 0, distill epoch 4, acc: 0.5362
[2024-02-20 22:17:37] [INFO] rank: 0, distill epoch 5, acc: 0.5180
[2024-02-20 22:17:38] [INFO] rank: 0, distill epoch 6, acc: 0.4832
[2024-02-20 22:17:39] [INFO] rank: 0, distill epoch 7, acc: 0.4496
[2024-02-20 22:17:40] [INFO] rank: 0, distill epoch 8, acc: 0.4362
[2024-02-20 22:17:42] [INFO] rank: 0, distill epoch 9, acc: 0.4350
[2024-02-20 22:17:43] [INFO] rank: 0, distill epoch 10, acc: 0.4394
[2024-02-20 22:17:43] [INFO] [rank: 0, server epoch 1, client 4, distill train]
[2024-02-20 22:17:44] [INFO] rank: 0, distill epoch 1, acc: 0.4394
[2024-02-20 22:17:45] [INFO] rank: 0, distill epoch 2, acc: 0.4394
[2024-02-20 22:17:46] [INFO] rank: 0, distill epoch 3, acc: 0.4394
[2024-02-20 22:17:48] [INFO] rank: 0, distill epoch 4, acc: 0.4394
[2024-02-20 22:17:49] [INFO] rank: 0, distill epoch 5, acc: 0.4394
[2024-02-20 22:17:50] [INFO] rank: 0, distill epoch 6, acc: 0.4394
[2024-02-20 22:17:51] [INFO] rank: 0, distill epoch 7, acc: 0.4394
[2024-02-20 22:17:52] [INFO] rank: 0, distill epoch 8, acc: 0.4394
[2024-02-20 22:17:54] [INFO] rank: 0, distill epoch 9, acc: 0.4394
[2024-02-20 22:17:55] [INFO] rank: 0, distill epoch 10, acc: 0.4394
[2024-02-20 22:17:55] [INFO] [rank: 0, server epoch 1, client 5, distill train]
[2024-02-20 22:17:56] [INFO] rank: 0, distill epoch 1, acc: 0.4394
[2024-02-20 22:17:57] [INFO] rank: 0, distill epoch 2, acc: 0.4394
[2024-02-20 22:17:58] [INFO] rank: 0, distill epoch 3, acc: 0.4394
[2024-02-20 22:17:59] [INFO] rank: 0, distill epoch 4, acc: 0.4394
[2024-02-20 22:18:01] [INFO] rank: 0, distill epoch 5, acc: 0.4394
[2024-02-20 22:18:02] [INFO] rank: 0, distill epoch 6, acc: 0.4394
[2024-02-20 22:18:03] [INFO] rank: 0, distill epoch 7, acc: 0.4394
[2024-02-20 22:18:04] [INFO] rank: 0, distill epoch 8, acc: 0.4394
[2024-02-20 22:18:05] [INFO] rank: 0, distill epoch 9, acc: 0.4394
[2024-02-20 22:18:06] [INFO] rank: 0, distill epoch 10, acc: 0.4394
[2024-02-20 22:18:06] [INFO] [rank: 0, server epoch 1, client 6, distill train]
[2024-02-20 22:18:07] [INFO] rank: 0, distill epoch 1, acc: 0.4394
[2024-02-20 22:18:08] [INFO] rank: 0, distill epoch 2, acc: 0.4394
[2024-02-20 22:18:10] [INFO] rank: 0, distill epoch 3, acc: 0.4394
[2024-02-20 22:18:11] [INFO] rank: 0, distill epoch 4, acc: 0.4394
[2024-02-20 22:18:12] [INFO] rank: 0, distill epoch 5, acc: 0.4394
[2024-02-20 22:18:13] [INFO] rank: 0, distill epoch 6, acc: 0.4394
[2024-02-20 22:18:14] [INFO] rank: 0, distill epoch 7, acc: 0.4394
[2024-02-20 22:18:16] [INFO] rank: 0, distill epoch 8, acc: 0.4394
[2024-02-20 22:18:17] [INFO] rank: 0, distill epoch 9, acc: 0.4394
[2024-02-20 22:18:18] [INFO] rank: 0, distill epoch 10, acc: 0.4394
[2024-02-20 22:18:18] [INFO] [rank: 0, server epoch 1, client 7, distill train]
[2024-02-20 22:18:19] [INFO] rank: 0, distill epoch 1, acc: 0.4394
[2024-02-20 22:18:21] [INFO] rank: 0, distill epoch 2, acc: 0.4394
[2024-02-20 22:18:22] [INFO] rank: 0, distill epoch 3, acc: 0.4394
[2024-02-20 22:18:23] [INFO] rank: 0, distill epoch 4, acc: 0.4394
[2024-02-20 22:18:24] [INFO] rank: 0, distill epoch 5, acc: 0.4394
[2024-02-20 22:18:25] [INFO] rank: 0, distill epoch 6, acc: 0.4394
[2024-02-20 22:18:26] [INFO] rank: 0, distill epoch 7, acc: 0.4394
[2024-02-20 22:18:28] [INFO] rank: 0, distill epoch 8, acc: 0.4394
[2024-02-20 22:18:29] [INFO] rank: 0, distill epoch 9, acc: 0.4394
[2024-02-20 22:18:30] [INFO] rank: 0, distill epoch 10, acc: 0.4394
[2024-02-20 22:18:30] [INFO] [rank: 0, server epoch 1, client 8, distill train]
[2024-02-20 22:18:31] [INFO] rank: 0, distill epoch 1, acc: 0.4394
[2024-02-20 22:18:32] [INFO] rank: 0, distill epoch 2, acc: 0.4394
[2024-02-20 22:18:34] [INFO] rank: 0, distill epoch 3, acc: 0.4394
[2024-02-20 22:18:35] [INFO] rank: 0, distill epoch 4, acc: 0.4394
[2024-02-20 22:18:36] [INFO] rank: 0, distill epoch 5, acc: 0.4394
[2024-02-20 22:18:37] [INFO] rank: 0, distill epoch 6, acc: 0.4394
[2024-02-20 22:18:38] [INFO] rank: 0, distill epoch 7, acc: 0.4394
[2024-02-20 22:18:40] [INFO] rank: 0, distill epoch 8, acc: 0.4394
[2024-02-20 22:18:41] [INFO] rank: 0, distill epoch 9, acc: 0.4394
[2024-02-20 22:18:42] [INFO] rank: 0, distill epoch 10, acc: 0.4394
[2024-02-20 22:18:42] [INFO] [rank: 0, server epoch 1, client 9, distill train]
[2024-02-20 22:18:43] [INFO] rank: 0, distill epoch 1, acc: 0.4394
[2024-02-20 22:18:45] [INFO] rank: 0, distill epoch 2, acc: 0.4394
[2024-02-20 22:18:46] [INFO] rank: 0, distill epoch 3, acc: 0.4394
[2024-02-20 22:18:47] [INFO] rank: 0, distill epoch 4, acc: 0.4394
[2024-02-20 22:18:48] [INFO] rank: 0, distill epoch 5, acc: 0.4394
[2024-02-20 22:18:49] [INFO] rank: 0, distill epoch 6, acc: 0.4394
[2024-02-20 22:18:51] [INFO] rank: 0, distill epoch 7, acc: 0.4394
[2024-02-20 22:18:52] [INFO] rank: 0, distill epoch 8, acc: 0.4394
[2024-02-20 22:18:53] [INFO] rank: 0, distill epoch 9, acc: 0.4394
[2024-02-20 22:18:54] [INFO] rank: 0, distill epoch 10, acc: 0.4394
[2024-02-20 22:18:54] [INFO] [rank: 0, server epoch 2, client 1, local train]
[2024-02-20 22:18:56] [INFO] rank: 0, local epoch 1, acc: 0.5925
[2024-02-20 22:18:57] [INFO] rank: 0, local epoch 2, acc: 0.6047
[2024-02-20 22:18:59] [INFO] rank: 0, local epoch 3, acc: 0.6051
[2024-02-20 22:19:00] [INFO] rank: 0, local epoch 4, acc: 0.6116
[2024-02-20 22:19:02] [INFO] rank: 0, local epoch 5, acc: 0.6071
[2024-02-20 22:19:03] [INFO] rank: 0, local epoch 6, acc: 0.6100
[2024-02-20 22:19:05] [INFO] rank: 0, local epoch 7, acc: 0.6136
[2024-02-20 22:19:07] [INFO] rank: 0, local epoch 8, acc: 0.6128
[2024-02-20 22:19:08] [INFO] rank: 0, local epoch 9, acc: 0.6258
[2024-02-20 22:19:10] [INFO] rank: 0, local epoch 10, acc: 0.6306
[2024-02-20 22:19:10] [INFO] [rank: 0, server epoch 2, client 2, local train]
[2024-02-20 22:19:11] [INFO] rank: 0, local epoch 1, acc: 0.5897
[2024-02-20 22:19:13] [INFO] rank: 0, local epoch 2, acc: 0.6002
[2024-02-20 22:19:14] [INFO] rank: 0, local epoch 3, acc: 0.6063
[2024-02-20 22:19:16] [INFO] rank: 0, local epoch 4, acc: 0.6035
[2024-02-20 22:19:17] [INFO] rank: 0, local epoch 5, acc: 0.6108
[2024-02-20 22:19:19] [INFO] rank: 0, local epoch 6, acc: 0.6144
[2024-02-20 22:19:20] [INFO] rank: 0, local epoch 7, acc: 0.5954
[2024-02-20 22:19:22] [INFO] rank: 0, local epoch 8, acc: 0.6148
[2024-02-20 22:19:23] [INFO] rank: 0, local epoch 9, acc: 0.6185
[2024-02-20 22:19:25] [INFO] rank: 0, local epoch 10, acc: 0.6258
[2024-02-20 22:19:25] [INFO] [rank: 0, server epoch 2, client 3, local train]
[2024-02-20 22:19:27] [INFO] rank: 0, local epoch 1, acc: 0.5930
[2024-02-20 22:19:28] [INFO] rank: 0, local epoch 2, acc: 0.5978
