[2024-02-22 16:36:19] [INFO] hyper_fed1
      n_public_data  :  100  
          seed       : 10000 
      local_epochs   :  10   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  20   
          alpha      :  1.0  
            a        :  1.0  
       temperature   :   5   
         dataset     :cifar10
     model_structure : cnn3  
[2024-02-22 16:36:31] [INFO] [rank: 0, server epoch 1, client 1, local train]
[2024-02-22 16:36:32] [INFO] rank: 0, local epoch 1, acc: 0.4087
[2024-02-22 16:36:33] [INFO] rank: 0, local epoch 2, acc: 0.4488
[2024-02-22 16:36:33] [INFO] rank: 0, local epoch 3, acc: 0.5014
[2024-02-22 16:36:33] [INFO] rank: 0, local epoch 4, acc: 0.5241
[2024-02-22 16:36:34] [INFO] rank: 0, local epoch 5, acc: 0.5358
[2024-02-22 16:36:34] [INFO] rank: 0, local epoch 6, acc: 0.5537
[2024-02-22 16:36:35] [INFO] rank: 0, local epoch 7, acc: 0.5670
[2024-02-22 16:36:35] [INFO] rank: 0, local epoch 8, acc: 0.5711
[2024-02-22 16:36:36] [INFO] rank: 0, local epoch 9, acc: 0.5861
[2024-02-22 16:36:36] [INFO] rank: 0, local epoch 10, acc: 0.5946
[2024-02-22 16:36:36] [INFO] [rank: 0, server epoch 1, client 2, local train]
[2024-02-22 16:36:36] [INFO] rank: 0, local epoch 1, acc: 0.3787
[2024-02-22 16:36:37] [INFO] rank: 0, local epoch 2, acc: 0.4561
[2024-02-22 16:36:37] [INFO] rank: 0, local epoch 3, acc: 0.4966
[2024-02-22 16:36:38] [INFO] rank: 0, local epoch 4, acc: 0.5217
[2024-02-22 16:36:38] [INFO] rank: 0, local epoch 5, acc: 0.5330
[2024-02-22 16:36:39] [INFO] rank: 0, local epoch 6, acc: 0.5427
[2024-02-22 16:36:39] [INFO] rank: 0, local epoch 7, acc: 0.5585
[2024-02-22 16:36:39] [INFO] rank: 0, local epoch 8, acc: 0.5715
[2024-02-22 16:36:40] [INFO] rank: 0, local epoch 9, acc: 0.5840
[2024-02-22 16:36:40] [INFO] rank: 0, local epoch 10, acc: 0.5808
[2024-02-22 16:36:40] [INFO] [rank: 0, server epoch 1, client 3, local train]
[2024-02-22 16:36:41] [INFO] rank: 0, local epoch 1, acc: 0.3908
[2024-02-22 16:36:41] [INFO] rank: 0, local epoch 2, acc: 0.4496
[2024-02-22 16:36:42] [INFO] rank: 0, local epoch 3, acc: 0.4897
[2024-02-22 16:36:42] [INFO] rank: 0, local epoch 4, acc: 0.5156
[2024-02-22 16:36:42] [INFO] rank: 0, local epoch 5, acc: 0.5419
[2024-02-22 16:36:43] [INFO] rank: 0, local epoch 6, acc: 0.5520
[2024-02-22 16:36:43] [INFO] rank: 0, local epoch 7, acc: 0.5622
[2024-02-22 16:36:44] [INFO] rank: 0, local epoch 8, acc: 0.5642
[2024-02-22 16:36:44] [INFO] rank: 0, local epoch 9, acc: 0.5723
[2024-02-22 16:36:45] [INFO] rank: 0, local epoch 10, acc: 0.5861
[2024-02-22 16:36:45] [INFO] [rank: 0, server epoch 1, client 4, local train]
[2024-02-22 16:36:45] [INFO] rank: 0, local epoch 1, acc: 0.3604
[2024-02-22 16:36:46] [INFO] rank: 0, local epoch 2, acc: 0.4353
[2024-02-22 16:36:46] [INFO] rank: 0, local epoch 3, acc: 0.4883
[2024-02-22 16:36:47] [INFO] rank: 0, local epoch 4, acc: 0.5031
[2024-02-22 16:36:47] [INFO] rank: 0, local epoch 5, acc: 0.5290
[2024-02-22 16:36:48] [INFO] rank: 0, local epoch 6, acc: 0.5399
[2024-02-22 16:36:48] [INFO] rank: 0, local epoch 7, acc: 0.5556
[2024-02-22 16:36:49] [INFO] rank: 0, local epoch 8, acc: 0.5694
[2024-02-22 16:36:49] [INFO] rank: 0, local epoch 9, acc: 0.5822
[2024-02-22 16:36:50] [INFO] rank: 0, local epoch 10, acc: 0.5749
[2024-02-22 16:36:50] [INFO] [rank: 0, server epoch 1, client 5, local train]
[2024-02-22 16:36:50] [INFO] rank: 0, local epoch 1, acc: 0.3533
[2024-02-22 16:36:51] [INFO] rank: 0, local epoch 2, acc: 0.4402
[2024-02-22 16:36:51] [INFO] rank: 0, local epoch 3, acc: 0.4851
[2024-02-22 16:36:52] [INFO] rank: 0, local epoch 4, acc: 0.5047
[2024-02-22 16:36:52] [INFO] rank: 0, local epoch 5, acc: 0.5185
[2024-02-22 16:36:52] [INFO] rank: 0, local epoch 6, acc: 0.5480
[2024-02-22 16:36:53] [INFO] rank: 0, local epoch 7, acc: 0.5598
[2024-02-22 16:36:53] [INFO] rank: 0, local epoch 8, acc: 0.5650
[2024-02-22 16:36:54] [INFO] rank: 0, local epoch 9, acc: 0.5762
[2024-02-22 16:36:54] [INFO] rank: 0, local epoch 10, acc: 0.5832
[2024-02-22 16:36:54] [INFO] [rank: 0, server epoch 1, client 6, local train]
[2024-02-22 16:36:55] [INFO] rank: 0, local epoch 1, acc: 0.3773
[2024-02-22 16:36:55] [INFO] rank: 0, local epoch 2, acc: 0.4533
[2024-02-22 16:36:56] [INFO] rank: 0, local epoch 3, acc: 0.4888
[2024-02-22 16:36:56] [INFO] rank: 0, local epoch 4, acc: 0.5047
[2024-02-22 16:36:57] [INFO] rank: 0, local epoch 5, acc: 0.5237
[2024-02-22 16:36:57] [INFO] rank: 0, local epoch 6, acc: 0.5287
[2024-02-22 16:36:58] [INFO] rank: 0, local epoch 7, acc: 0.5572
[2024-02-22 16:36:58] [INFO] rank: 0, local epoch 8, acc: 0.5715
[2024-02-22 16:36:59] [INFO] rank: 0, local epoch 9, acc: 0.5793
[2024-02-22 16:36:59] [INFO] rank: 0, local epoch 10, acc: 0.5783
[2024-02-22 16:36:59] [INFO] [rank: 0, server epoch 1, client 7, local train]
[2024-02-22 16:37:00] [INFO] rank: 0, local epoch 1, acc: 0.3755
[2024-02-22 16:37:00] [INFO] rank: 0, local epoch 2, acc: 0.4034
[2024-02-22 16:37:01] [INFO] rank: 0, local epoch 3, acc: 0.4542
[2024-02-22 16:37:01] [INFO] rank: 0, local epoch 4, acc: 0.4690
[2024-02-22 16:37:02] [INFO] rank: 0, local epoch 5, acc: 0.4869
[2024-02-22 16:37:02] [INFO] rank: 0, local epoch 6, acc: 0.4955
[2024-02-22 16:37:03] [INFO] rank: 0, local epoch 7, acc: 0.4909
[2024-02-22 16:37:03] [INFO] rank: 0, local epoch 8, acc: 0.5045
[2024-02-22 16:37:04] [INFO] rank: 0, local epoch 9, acc: 0.5112
[2024-02-22 16:37:04] [INFO] rank: 0, local epoch 10, acc: 0.5228
[2024-02-22 16:37:04] [INFO] [rank: 0, server epoch 1, client 8, local train]
[2024-02-22 16:37:05] [INFO] rank: 0, local epoch 1, acc: 0.3679
[2024-02-22 16:37:05] [INFO] rank: 0, local epoch 2, acc: 0.3877
[2024-02-22 16:37:06] [INFO] rank: 0, local epoch 3, acc: 0.4361
[2024-02-22 16:37:06] [INFO] rank: 0, local epoch 4, acc: 0.4709
[2024-02-22 16:37:06] [INFO] rank: 0, local epoch 5, acc: 0.4850
[2024-02-22 16:37:07] [INFO] rank: 0, local epoch 6, acc: 0.4985
[2024-02-22 16:37:07] [INFO] rank: 0, local epoch 7, acc: 0.4953
[2024-02-22 16:37:08] [INFO] rank: 0, local epoch 8, acc: 0.5085
[2024-02-22 16:37:08] [INFO] rank: 0, local epoch 9, acc: 0.5174
[2024-02-22 16:37:09] [INFO] rank: 0, local epoch 10, acc: 0.4993
[2024-02-22 16:37:09] [INFO] [rank: 0, server epoch 1, client 9, local train]
[2024-02-22 16:37:09] [INFO] rank: 0, local epoch 1, acc: 0.3796
[2024-02-22 16:37:10] [INFO] rank: 0, local epoch 2, acc: 0.4109
[2024-02-22 16:37:10] [INFO] rank: 0, local epoch 3, acc: 0.4334
[2024-02-22 16:37:11] [INFO] rank: 0, local epoch 4, acc: 0.4607
[2024-02-22 16:37:11] [INFO] rank: 0, local epoch 5, acc: 0.4807
[2024-02-22 16:37:12] [INFO] rank: 0, local epoch 6, acc: 0.4644
[2024-02-22 16:37:12] [INFO] rank: 0, local epoch 7, acc: 0.5074
[2024-02-22 16:37:13] [INFO] rank: 0, local epoch 8, acc: 0.5080
[2024-02-22 16:37:13] [INFO] rank: 0, local epoch 9, acc: 0.5150
[2024-02-22 16:37:14] [INFO] rank: 0, local epoch 10, acc: 0.5069
[2024-02-22 16:37:14] [INFO] [rank: 0, server epoch 1, distill train]
[2024-02-22 16:37:15] [INFO] rank: 0, distill epoch 1, acc: 0.5917
[2024-02-22 16:37:15] [INFO] rank: 0, distill epoch 2, acc: 0.5788
[2024-02-22 16:37:16] [INFO] rank: 0, distill epoch 3, acc: 0.5346
[2024-02-22 16:37:16] [INFO] rank: 0, distill epoch 4, acc: 0.4929
[2024-02-22 16:37:17] [INFO] rank: 0, distill epoch 5, acc: 0.4261
[2024-02-22 16:37:17] [INFO] rank: 0, distill epoch 6, acc: 0.3649
[2024-02-22 16:37:17] [INFO] rank: 0, distill epoch 7, acc: 0.3143
[2024-02-22 16:37:18] [INFO] rank: 0, distill epoch 8, acc: 0.2778
[2024-02-22 16:37:18] [INFO] rank: 0, distill epoch 9, acc: 0.2406
[2024-02-22 16:37:19] [INFO] rank: 0, distill epoch 10, acc: 0.2232
[2024-02-22 16:37:19] [INFO] [rank: 0, server epoch 1, distill train]
[2024-02-22 16:37:19] [INFO] rank: 0, distill epoch 1, acc: 0.5879
[2024-02-22 16:37:20] [INFO] rank: 0, distill epoch 2, acc: 0.5705
[2024-02-22 16:37:20] [INFO] rank: 0, distill epoch 3, acc: 0.5386
[2024-02-22 16:37:21] [INFO] rank: 0, distill epoch 4, acc: 0.4825
[2024-02-22 16:37:21] [INFO] rank: 0, distill epoch 5, acc: 0.4256
[2024-02-22 16:37:22] [INFO] rank: 0, distill epoch 6, acc: 0.3742
[2024-02-22 16:37:22] [INFO] rank: 0, distill epoch 7, acc: 0.3220
[2024-02-22 16:37:23] [INFO] rank: 0, distill epoch 8, acc: 0.2761
[2024-02-22 16:37:23] [INFO] rank: 0, distill epoch 9, acc: 0.2432
[2024-02-22 16:37:24] [INFO] rank: 0, distill epoch 10, acc: 0.2197
[2024-02-22 16:37:24] [INFO] [rank: 0, server epoch 1, distill train]
[2024-02-22 16:37:24] [INFO] rank: 0, distill epoch 1, acc: 0.5085
[2024-02-22 16:37:25] [INFO] rank: 0, distill epoch 2, acc: 0.4739
[2024-02-22 16:37:25] [INFO] rank: 0, distill epoch 3, acc: 0.4474
[2024-02-22 16:37:26] [INFO] rank: 0, distill epoch 4, acc: 0.4285
[2024-02-22 16:37:26] [INFO] rank: 0, distill epoch 5, acc: 0.4131
[2024-02-22 16:37:27] [INFO] rank: 0, distill epoch 6, acc: 0.4044
[2024-02-22 16:37:27] [INFO] rank: 0, distill epoch 7, acc: 0.3942
[2024-02-22 16:37:28] [INFO] rank: 0, distill epoch 8, acc: 0.3858
[2024-02-22 16:37:28] [INFO] rank: 0, distill epoch 9, acc: 0.3833
[2024-02-22 16:37:28] [INFO] rank: 0, distill epoch 10, acc: 0.3882
[2024-02-22 16:37:28] [INFO] [rank: 0, server epoch 2, client 1, local train]
[2024-02-22 16:37:29] [INFO] rank: 0, local epoch 1, acc: 0.5913
[2024-02-22 16:37:29] [INFO] rank: 0, local epoch 2, acc: 0.5930
[2024-02-22 16:37:30] [INFO] rank: 0, local epoch 3, acc: 0.5942
[2024-02-22 16:37:30] [INFO] rank: 0, local epoch 4, acc: 0.6092
[2024-02-22 16:37:31] [INFO] rank: 0, local epoch 5, acc: 0.6092
[2024-02-22 16:37:31] [INFO] rank: 0, local epoch 6, acc: 0.6128
[2024-02-22 16:37:32] [INFO] rank: 0, local epoch 7, acc: 0.6160
[2024-02-22 16:37:32] [INFO] rank: 0, local epoch 8, acc: 0.6221
[2024-02-22 16:37:32] [INFO] rank: 0, local epoch 9, acc: 0.6168
[2024-02-22 16:37:33] [INFO] rank: 0, local epoch 10, acc: 0.6233
[2024-02-22 16:37:33] [INFO] [rank: 0, server epoch 2, client 2, local train]
[2024-02-22 16:37:33] [INFO] rank: 0, local epoch 1, acc: 0.6318
[2024-02-22 16:37:34] [INFO] rank: 0, local epoch 2, acc: 0.6302
[2024-02-22 16:37:34] [INFO] rank: 0, local epoch 3, acc: 0.6399
[2024-02-22 16:37:35] [INFO] rank: 0, local epoch 4, acc: 0.6440
[2024-02-22 16:37:35] [INFO] rank: 0, local epoch 5, acc: 0.6484
[2024-02-22 16:37:36] [INFO] rank: 0, local epoch 6, acc: 0.6416
[2024-02-22 16:37:36] [INFO] rank: 0, local epoch 7, acc: 0.6403
[2024-02-22 16:37:36] [INFO] rank: 0, local epoch 8, acc: 0.6505
[2024-02-22 16:37:37] [INFO] rank: 0, local epoch 9, acc: 0.6513
[2024-02-22 16:37:37] [INFO] rank: 0, local epoch 10, acc: 0.6545
[2024-02-22 16:37:37] [INFO] [rank: 0, server epoch 2, client 3, local train]
[2024-02-22 16:37:38] [INFO] rank: 0, local epoch 1, acc: 0.6561
[2024-02-22 16:37:38] [INFO] rank: 0, local epoch 2, acc: 0.6594
[2024-02-22 16:37:39] [INFO] rank: 0, local epoch 3, acc: 0.6655
[2024-02-22 16:37:39] [INFO] rank: 0, local epoch 4, acc: 0.6699
[2024-02-22 16:37:40] [INFO] rank: 0, local epoch 5, acc: 0.6622
[2024-02-22 16:37:40] [INFO] rank: 0, local epoch 6, acc: 0.6521
[2024-02-22 16:37:40] [INFO] rank: 0, local epoch 7, acc: 0.6630
[2024-02-22 16:37:41] [INFO] rank: 0, local epoch 8, acc: 0.6691
[2024-02-22 16:37:41] [INFO] rank: 0, local epoch 9, acc: 0.6695
[2024-02-22 16:37:42] [INFO] rank: 0, local epoch 10, acc: 0.6756
[2024-02-22 16:37:42] [INFO] [rank: 0, server epoch 2, client 4, local train]
[2024-02-22 16:37:42] [INFO] rank: 0, local epoch 1, acc: 0.5783
[2024-02-22 16:37:43] [INFO] rank: 0, local epoch 2, acc: 0.5892
[2024-02-22 16:37:43] [INFO] rank: 0, local epoch 3, acc: 0.6002
[2024-02-22 16:37:44] [INFO] rank: 0, local epoch 4, acc: 0.6023
[2024-02-22 16:37:44] [INFO] rank: 0, local epoch 5, acc: 0.6054
[2024-02-22 16:37:45] [INFO] rank: 0, local epoch 6, acc: 0.6080
[2024-02-22 16:37:45] [INFO] rank: 0, local epoch 7, acc: 0.6099
[2024-02-22 16:37:46] [INFO] rank: 0, local epoch 8, acc: 0.6195
[2024-02-22 16:37:46] [INFO] rank: 0, local epoch 9, acc: 0.6273
[2024-02-22 16:37:47] [INFO] rank: 0, local epoch 10, acc: 0.6255
[2024-02-22 16:37:47] [INFO] [rank: 0, server epoch 2, client 5, local train]
[2024-02-22 16:37:47] [INFO] rank: 0, local epoch 1, acc: 0.6255
[2024-02-22 16:37:48] [INFO] rank: 0, local epoch 2, acc: 0.6420
