[2024-02-23 19:35:32] [INFO] hyper_fed2
      n_public_data  : 1000  
          seed       : 10000 
      local_epochs   :  10   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  20   
          alpha      :  1.0  
            a        :  0.5  
       temperature   :   0   
         dataset     :cifar10
     model_structure : cnn3  
[2024-02-23 19:35:57] [INFO] [rank: 0, server epoch 1, client 1, local train]
[2024-02-23 19:35:59] [INFO] rank: 0, local epoch 1, acc: 0.3937
[2024-02-23 19:36:01] [INFO] rank: 0, local epoch 2, acc: 0.4569
[2024-02-23 19:36:02] [INFO] rank: 0, local epoch 3, acc: 0.4917
[2024-02-23 19:36:04] [INFO] rank: 0, local epoch 4, acc: 0.5136
[2024-02-23 19:36:06] [INFO] rank: 0, local epoch 5, acc: 0.5338
[2024-02-23 19:36:07] [INFO] rank: 0, local epoch 6, acc: 0.5488
[2024-02-23 19:36:09] [INFO] rank: 0, local epoch 7, acc: 0.5383
[2024-02-23 19:36:10] [INFO] rank: 0, local epoch 8, acc: 0.5650
[2024-02-23 19:36:12] [INFO] rank: 0, local epoch 9, acc: 0.5788
[2024-02-23 19:36:14] [INFO] rank: 0, local epoch 10, acc: 0.5836
[2024-02-23 19:36:14] [INFO] [rank: 0, server epoch 1, client 2, local train]
[2024-02-23 19:36:16] [INFO] rank: 0, local epoch 1, acc: 0.3746
[2024-02-23 19:36:17] [INFO] rank: 0, local epoch 2, acc: 0.4528
[2024-02-23 19:36:19] [INFO] rank: 0, local epoch 3, acc: 0.4824
[2024-02-23 19:36:20] [INFO] rank: 0, local epoch 4, acc: 0.5205
[2024-02-23 19:36:22] [INFO] rank: 0, local epoch 5, acc: 0.5362
[2024-02-23 19:36:24] [INFO] rank: 0, local epoch 6, acc: 0.5472
[2024-02-23 19:36:26] [INFO] rank: 0, local epoch 7, acc: 0.5443
[2024-02-23 19:36:27] [INFO] rank: 0, local epoch 8, acc: 0.5585
[2024-02-23 19:36:29] [INFO] rank: 0, local epoch 9, acc: 0.5711
[2024-02-23 19:36:31] [INFO] rank: 0, local epoch 10, acc: 0.5812
[2024-02-23 19:36:31] [INFO] [rank: 0, server epoch 1, client 3, local train]
[2024-02-23 19:36:32] [INFO] rank: 0, local epoch 1, acc: 0.3953
[2024-02-23 19:36:34] [INFO] rank: 0, local epoch 2, acc: 0.4500
[2024-02-23 19:36:36] [INFO] rank: 0, local epoch 3, acc: 0.4779
